dataset,task_type,model,metric,value,scenario,source
scenario3_p500,regression,RF,MSE,9.37595880681642,scenario3,simulated
scenario3_p500,regression,ET,MSE,9.347620523456426,scenario3,simulated
scenario3_p500,regression,GBR,MSE,9.31696674990903,scenario3,simulated
scenario3_p500,regression,Lasso,MSE,19.881950716749365,scenario3,simulated
scenario3_p500,regression,ElasticNet,MSE,19.683624795005773,scenario3,simulated
scenario3_p500,regression,RLT_none_combsplit1,MSE,9.679227531074178,scenario3,simulated
scenario3_p500,regression,RLT_none_combsplit2,MSE,9.231316500206324,scenario3,simulated
scenario3_p500,regression,RLT_none_combsplit5,MSE,9.074562767990788,scenario3,simulated
scenario3_p500,regression,RLT_moderate_combsplit1,MSE,9.463657512025408,scenario3,simulated
scenario3_p500,regression,RLT_moderate_combsplit2,MSE,9.552363078659821,scenario3,simulated
scenario3_p500,regression,RLT_moderate_combsplit5,MSE,9.213063356931205,scenario3,simulated
scenario3_p500,regression,RLT_aggressive_combsplit1,MSE,8.982526494104615,scenario3,simulated
scenario3_p500,regression,RLT_aggressive_combsplit2,MSE,8.864929835842691,scenario3,simulated
scenario3_p500,regression,RLT_aggressive_combsplit5,MSE,9.031705677902536,scenario3,simulated
scenario3_p1000,regression,RF,MSE,8.840976268612572,scenario3,simulated
scenario3_p1000,regression,ET,MSE,8.790479135863595,scenario3,simulated
scenario3_p1000,regression,GBR,MSE,9.133632734147245,scenario3,simulated
scenario3_p1000,regression,Lasso,MSE,34.28557115032491,scenario3,simulated
scenario3_p1000,regression,ElasticNet,MSE,30.209867049447894,scenario3,simulated
scenario3_p1000,regression,RLT_none_combsplit1,MSE,9.144324450324595,scenario3,simulated
scenario3_p1000,regression,RLT_none_combsplit2,MSE,9.052984315916747,scenario3,simulated
scenario3_p1000,regression,RLT_none_combsplit5,MSE,8.883927263135742,scenario3,simulated
scenario3_p1000,regression,RLT_moderate_combsplit1,MSE,9.246353070901904,scenario3,simulated
scenario3_p1000,regression,RLT_moderate_combsplit2,MSE,8.943834288130136,scenario3,simulated
scenario3_p1000,regression,RLT_moderate_combsplit5,MSE,9.043040290940644,scenario3,simulated
scenario3_p1000,regression,RLT_aggressive_combsplit1,MSE,8.77330505553065,scenario3,simulated
scenario3_p1000,regression,RLT_aggressive_combsplit2,MSE,9.066890215893563,scenario3,simulated
scenario3_p1000,regression,RLT_aggressive_combsplit5,MSE,9.013363778946621,scenario3,simulated
scenario4_p200,regression,RF,MSE,13.462984123425885,scenario4,simulated
scenario4_p200,regression,ET,MSE,14.972477818935886,scenario4,simulated
scenario4_p200,regression,GBR,MSE,5.2704234054552765,scenario4,simulated
scenario4_p200,regression,Lasso,MSE,2.1089437467224452,scenario4,simulated
scenario4_p200,regression,ElasticNet,MSE,2.5910390354671167,scenario4,simulated
scenario4_p200,regression,RLT_none_combsplit1,MSE,6.625785668165873,scenario4,simulated
scenario4_p200,regression,RLT_none_combsplit2,MSE,4.2774407450117655,scenario4,simulated
scenario4_p200,regression,RLT_none_combsplit5,MSE,5.132295026611684,scenario4,simulated
scenario4_p200,regression,RLT_moderate_combsplit1,MSE,5.978382061059961,scenario4,simulated
scenario4_p200,regression,RLT_moderate_combsplit2,MSE,3.973621570110885,scenario4,simulated
scenario4_p200,regression,RLT_moderate_combsplit5,MSE,4.472857790361541,scenario4,simulated
scenario4_p200,regression,RLT_aggressive_combsplit1,MSE,4.824652324082807,scenario4,simulated
scenario4_p200,regression,RLT_aggressive_combsplit2,MSE,4.008026870723848,scenario4,simulated
scenario4_p200,regression,RLT_aggressive_combsplit5,MSE,3.562564470982815,scenario4,simulated
scenario4_p500,regression,RF,MSE,15.520101693203099,scenario4,simulated
scenario4_p500,regression,ET,MSE,16.051584079040264,scenario4,simulated
scenario4_p500,regression,GBR,MSE,4.807207583426895,scenario4,simulated
scenario4_p500,regression,Lasso,MSE,2.082491754483699,scenario4,simulated
scenario4_p500,regression,ElasticNet,MSE,3.3882958688357054,scenario4,simulated
scenario4_p500,regression,RLT_none_combsplit1,MSE,7.784039160798106,scenario4,simulated
scenario4_p500,regression,RLT_none_combsplit2,MSE,6.365977992903855,scenario4,simulated
scenario4_p500,regression,RLT_none_combsplit5,MSE,6.442236915133739,scenario4,simulated
scenario4_p500,regression,RLT_moderate_combsplit1,MSE,7.103887486568183,scenario4,simulated
scenario4_p500,regression,RLT_moderate_combsplit2,MSE,5.893523097323159,scenario4,simulated
scenario4_p500,regression,RLT_moderate_combsplit5,MSE,6.363329646761633,scenario4,simulated
scenario4_p500,regression,RLT_aggressive_combsplit1,MSE,6.193351044620998,scenario4,simulated
scenario4_p500,regression,RLT_aggressive_combsplit2,MSE,4.821454887227829,scenario4,simulated
scenario4_p500,regression,RLT_aggressive_combsplit5,MSE,4.312092571287151,scenario4,simulated
scenario4_p1000,regression,RF,MSE,13.564268921499467,scenario4,simulated
scenario4_p1000,regression,ET,MSE,14.175227530385598,scenario4,simulated
scenario4_p1000,regression,GBR,MSE,3.209468853896117,scenario4,simulated
scenario4_p1000,regression,Lasso,MSE,1.722574534779473,scenario4,simulated
scenario4_p1000,regression,ElasticNet,MSE,2.156524003564912,scenario4,simulated
scenario4_p1000,regression,RLT_none_combsplit1,MSE,6.171759176541987,scenario4,simulated
scenario4_p1000,regression,RLT_none_combsplit2,MSE,5.472619262500259,scenario4,simulated
scenario4_p1000,regression,RLT_none_combsplit5,MSE,5.6146310407602975,scenario4,simulated
scenario4_p1000,regression,RLT_moderate_combsplit1,MSE,5.89794004909431,scenario4,simulated
scenario4_p1000,regression,RLT_moderate_combsplit2,MSE,5.240615865381356,scenario4,simulated
scenario4_p1000,regression,RLT_moderate_combsplit5,MSE,5.363836415856664,scenario4,simulated
scenario4_p1000,regression,RLT_aggressive_combsplit1,MSE,4.531659732700083,scenario4,simulated
scenario4_p1000,regression,RLT_aggressive_combsplit2,MSE,4.043543129551256,scenario4,simulated
scenario4_p1000,regression,RLT_aggressive_combsplit5,MSE,3.9191522762554603,scenario4,simulated
