dataset,model,rmse,r2,n_features_used
scenario4_p1000,Boosting,2.027102,0.868689,1000
scenario4_p1000,Lasso,1.411464,0.936337,subset
scenario4_p1000,RLT,5.263507,0.114681,subset
scenario4_p200,RF,1.596229,0.837271,200
scenario4_p200,RF_sqrtp,3.104727,0.384369,200
scenario4_p200,RF_logp,3.518469,0.209355,subset
scenario4_p200,ET,1.446606,0.866348,200
scenario4_p200,Boosting,1.408994,0.873208,200
scenario4_p200,Lasso,1.32503,0.887869,subset
scenario4_p200,RLT,3.075645,0.395848,subset
scenario4_p500,RF,2.95898,0.676259,500
scenario4_p500,RF_sqrtp,4.967811,0.087475,500
scenario4_p500,RF_logp,5.254778,-0.020994,subset
scenario4_p500,ET,2.791109,0.71195,500
scenario4_p500,Boosting,2.277568,0.808196,500
scenario4_p500,Lasso,1.474933,0.919562,subset
scenario4_p500,RLT,4.925719,0.102874,subset
